AI SYSTEM,AUTHOR,DATE,SYSTEM TYPE,ARC-AGI-1,ARC-AGI-2,ARC-AGI-3,COST/TASK,COST (V3),CODE / PAPER
GPT-5 Pro,OpenAI,06.10.2025,CoT,70.2%,18.3%,N/A,$7.14,N/A,📄
Claude Haiku 4.5,Anthropic,01.10.2025,Base LLM,14.3%,1.3%,N/A,$0.043,N/A,📄
Claude Haiku 4.5 (Thinking 1K),Anthropic,01.10.2025,CoT,16.8%,1.3%,N/A,$0.047,N/A,📄
Claude Haiku 4.5 (Thinking 8K),Anthropic,01.10.2025,CoT,25.5%,1.7%,N/A,$0.091,N/A,📄
Claude Haiku 4.5 (Thinking 16K),Anthropic,01.10.2025,CoT,37.3%,2.8%,N/A,$0.139,N/A,📄
Claude Haiku 4.5 (Thinking 32K),Anthropic,01.10.2025,CoT,47.7%,4.0%,N/A,$0.377,N/A,📄
Claude Sonnet 4.5,Anthropic,29.09.2025,Base LLM,25.5%,3.8%,N/A,$0.130,N/A,📄
Claude Sonnet 4.5 (Thinking 1K),Anthropic,29.09.2025,CoT,31.0%,5.8%,N/A,$0.142,N/A,📄
Claude Sonnet 4.5 (Thinking 8K),Anthropic,29.09.2025,CoT,46.5%,6.9%,N/A,$0.235,N/A,📄
Claude Sonnet 4.5 (Thinking 16K),Anthropic,29.09.2025,CoT,48.3%,6.9%,N/A,$0.350,N/A,📄
Claude Sonnet 4.5 (Thinking 32K),Anthropic,29.09.2025,CoT,63.7%,13.6%,N/A,$0.759,N/A,📄
GPT-5 (High),OpenAI,07.08.2025,CoT,65.7%,9.9%,N/A,$0.730,N/A,—
GPT-5 (Medium),OpenAI,07.08.2025,CoT,56.2%,7.5%,N/A,$0.449,N/A,—
GPT-5 (Low),OpenAI,07.08.2025,CoT,44.0%,1.9%,N/A,$0.190,N/A,—
GPT-5 (Minimal),OpenAI,07.08.2025,Base LLM,6.0%,0.0%,N/A,$0.056,N/A,—
GPT-5 Mini (High),OpenAI,07.08.2025,CoT,54.3%,4.4%,N/A,$0.198,N/A,—
GPT-5 Mini (Medium),OpenAI,07.08.2025,CoT,37.3%,4.0%,N/A,$0.063,N/A,—
GPT-5 Mini (Low),OpenAI,07.08.2025,CoT,26.3%,0.8%,N/A,$0.019,N/A,—
GPT-5 Mini (Minimal),OpenAI,07.08.2025,CoT,5.3%,1.7%,N/A,$0.009,N/A,—
GPT-5 Nano (High),OpenAI,07.08.2025,CoT,16.7%,2.6%,N/A,$0.029,N/A,—
GPT-5 Nano (Medium),OpenAI,07.08.2025,CoT,20.7%,0.9%,N/A,$0.014,N/A,—
GPT-5 Nano (Low),OpenAI,07.08.2025,CoT,4.0%,0.0%,N/A,$0.003,N/A,—
GPT-5 Nano (Minimal),OpenAI,07.08.2025,CoT,1.5%,0.0%,N/A,$0.003,N/A,—
Hierarchical Reasoning Model (HRM),Bespoke,07.08.2025,N/A,32.0%,2.0%,N/A,$1.68,N/A,—
Grok 4 (Refine.),J. Berman,07.08.2025,Refinement,79.6%,29.4%,N/A,$30.40,N/A,💻
Grok 4 (Refine.),E. Pang,07.08.2025,Refinement,77.1%,26.0%,N/A,$3.97,N/A,💻
Qwen3-235b-a22b Instruct (25/07),Alibaba,25.07.2025,Base LLM,11.0%,1.3%,N/A,$0.004,N/A,📄
Grok 4 (Thinking),xAI,09.07.2025,CoT,66.7%,16.0%,N/A,$2.17,N/A,📄
Gemini 2.5 Pro (Thinking 1K),Google,17.06.2025,CoT,16.0%,0.0%,N/A,$0.088,N/A,📄
Gemini 2.5 Pro (Thinking 8K),Google,17.06.2025,CoT,29.5%,2.9%,N/A,$0.444,N/A,📄
Gemini 2.5 Pro (Thinking 16K),Google,17.06.2025,CoT,41.0%,4.0%,N/A,$0.715,N/A,📄
Gemini 2.5 Pro (Thinking 32K),Google,17.06.2025,CoT,37.0%,4.9%,N/A,$0.757,N/A,📄
o3-Pro (Low),OpenAI,10.06.2025,CoT + Synthesis,44.3%,2.1%,N/A,$2.23,N/A,📄
o3-Pro (Medium),OpenAI,10.06.2025,CoT + Synthesis,57.0%,1.9%,N/A,$4.74,N/A,📄
o3-Pro (High),OpenAI,10.06.2025,CoT + Synthesis,59.3%,4.9%,N/A,$7.55,N/A,📄
Magistral Small,Mistral,10.06.2025,CoT,5.0%,0.0%,N/A,$0.049,N/A,📄
Magistral Medium,Mistral,10.06.2025,CoT,5.9%,0.0%,N/A,$0.108,N/A,📄
Magistral Medium (Thinking),Mistral,10.06.2025,CoT,6.1%,0.0%,N/A,$0.123,N/A,📄
Deepseek R1 (05/28),Deepseek,28.05.2025,CoT,21.2%,1.1%,N/A,$0.053,N/A,📄
Codex Mini (Latest),OpenAI,23.05.2025,CoT,27.3%,1.3%,N/A,$0.230,N/A,📄
Gemini 2.5 Flash (Preview),Google,20.05.2025,CoT,33.3%,1.7%,N/A,$0.057,N/A,📄💻
Gemini 2.5 Flash (Preview) (Thinking 1K),Google,20.05.2025,CoT,16.0%,2.2%,N/A,$0.030,N/A,📄💻
Gemini 2.5 Flash (Preview) (Thinking 8K),Google,20.05.2025,CoT,25.8%,2.1%,N/A,$0.199,N/A,📄💻
Gemini 2.5 Flash (Preview) (Thinking 16K),Google,20.05.2025,CoT,33.3%,2.0%,N/A,$0.317,N/A,📄💻
Gemini 2.5 Flash (Preview) (Thinking 24K),Google,20.05.2025,CoT,32.3%,2.5%,N/A,$0.319,N/A,📄💻
Claude Sonnet 4,Anthropic,14.05.2025,Base LLM,23.8%,1.3%,N/A,$0.127,N/A,📄
Claude Sonnet 4 (Thinking 1K),Anthropic,14.05.2025,CoT,28.0%,0.9%,N/A,$0.142,N/A,📄
Claude Sonnet 4 (Thinking 8K),Anthropic,14.05.2025,CoT,29.0%,2.1%,N/A,$0.265,N/A,📄
Claude Sonnet 4 (Thinking 16K),Anthropic,14.05.2025,CoT,40.0%,5.9%,N/A,$0.486,N/A,📄
Claude Opus 4 (Thinking 16K),Anthropic,14.05.2025,CoT,35.7%,8.6%,N/A,$1.93,N/A,📄
Claude Opus 4 (Thinking 8K),Anthropic,14.05.2025,CoT,30.7%,4.5%,N/A,$1.16,N/A,📄
Claude Opus 4 (Thinking 1K),Anthropic,14.05.2025,CoT,27.0%,0.0%,N/A,$0.750,N/A,📄
Claude Opus 4,Anthropic,14.05.2025,CoT,22.5%,1.3%,N/A,$0.639,N/A,📄
o3 (Low),OpenAI,16.04.2025,CoT,41.5%,2.0%,N/A,$0.234,N/A,—
o3 (Medium),OpenAI,16.04.2025,CoT,53.8%,3.0%,N/A,$0.479,N/A,—
o3 (High),OpenAI,16.04.2025,CoT,60.8%,6.5%,N/A,$0.834,N/A,—
o4-mini (Low),OpenAI,16.04.2025,CoT,21.3%,1.7%,N/A,$0.050,N/A,—
o4-mini (Medium),OpenAI,16.04.2025,CoT,41.8%,2.4%,N/A,$0.231,N/A,—
o4-mini (High),OpenAI,16.04.2025,CoT,58.7%,6.1%,N/A,$0.856,N/A,—
GPT-4.1-Nano,OpenAI,14.04.2025,Base LLM,0.0%,0.0%,N/A,$0.004,N/A,📄💻
GPT-4.1-Mini,OpenAI,14.04.2025,Base LLM,3.5%,0.0%,N/A,$0.014,N/A,📄💻
GPT-4.1,OpenAI,14.04.2025,Base LLM,5.5%,0.4%,N/A,$0.069,N/A,📄💻
Llama 4 Maverick,Meta,05.04.2025,Base LLM,4.4%,0.0%,N/A,$0.012,N/A,📄💻
Llama 4 Scout,Meta,05.04.2025,Base LLM,0.5%,0.0%,N/A,$0.006,N/A,📄💻
GPT-4.5,OpenAI,27.02.2025,Base LLM,10.3%,0.8%,N/A,$2.10,N/A,💻
Claude 3.7,Anthropic,24.02.2025,Base LLM,13.6%,0.0%,N/A,$0.120,N/A,💻
Claude 3.7 (16K),Anthropic,24.02.2025,CoT,28.6%,0.7%,N/A,$0.510,N/A,💻
Claude 3.7 (1K),Anthropic,24.02.2025,CoT,11.6%,0.4%,N/A,$0.140,N/A,💻
Claude 3.7 (8K),Anthropic,24.02.2025,CoT,21.2%,0.9%,N/A,$0.360,N/A,💻
Grok 3,xAI,19.02.2025,Base LLM,5.5%,0.0%,N/A,$0.142,N/A,📄
Grok 3 Mini (Low),xAI,19.02.2025,CoT,16.5%,0.4%,N/A,$0.013,N/A,📄
Gemini 2.5 Pro (Preview),Google,19.02.2025,CoT,33.0%,3.8%,N/A,$0.813,N/A,📄
"Gemini 2.5 Pro (Preview, Thinking 1K)",Google,19.02.2025,CoT,31.3%,3.4%,N/A,$0.804,N/A,📄
Gemini 1.5 Pro,Google,15.02.2025,Base LLM,N/A,0.8%,N/A,$0.040,N/A,💻
Gemini 2.0 Flash,Google,02.02.2025,Base LLM,N/A,1.3%,N/A,$0.004,N/A,💻
o3-mini (Low),OpenAI,31.01.2025,CoT,14.5%,0.0%,N/A,$0.062,N/A,—
o3-mini (Medium),OpenAI,31.01.2025,CoT,22.3%,2.1%,N/A,$0.284,N/A,—
o3-mini (High),OpenAI,31.01.2025,CoT,34.5%,3.0%,N/A,$0.547,N/A,—
Deepseek R1,Deepseek,22.01.2025,CoT,15.8%,1.3%,N/A,$0.080,N/A,💻
"o3 (Preview, Low) ¹",OpenAI,20.12.2024,CoT + Synthesis,75.7%,4.0%,N/A,$200.00,N/A,📄
GPT-4o,OpenAI,20.11.2024,Base LLM,4.5%,0.0%,N/A,$0.080,N/A,💻
ARChitects,ARC Prize 2024,03.11.2024,Custom,56.0%,2.5%,N/A,$0.200,N/A,📄💻
NVARC,ARC Prize 2025,03.11.2024,Custom,N/A,27.6%,N/A,$0.200,N/A,📄💻
o1-mini,OpenAI,12.09.2024,CoT,14.0%,0.8%,N/A,$0.191,N/A,📄💻
GPT-4o-mini,OpenAI,18.07.2024,Base LLM,N/A,0.0%,N/A,$0.010,N/A,💻
Icecuber,ARC Prize 2024,03.11.2023,Custom,17.0%,1.6%,N/A,$0.130,N/A,💻
Human Panel,Human,N/A,N/A,98.0%,100.0%,N/A,$17.00,N/A,—
Avg. Mturker,Human,N/A,N/A,77.0%,N/A,N/A,$3.00,N/A,—
Stem Grad,Human,N/A,N/A,98.0%,N/A,N/A,$10.00,N/A,—
