source_row_index,AI SYSTEM,AUTHOR,DATE,SYSTEM TYPE,ARC-AGI-1,ARC-AGI-2,ARC-AGI-3,COST/TASK,COST (V3),CODE / PAPER,eval_id,eval_row_id,eval_model_label,eval_variant_label,source_date,score_arc_agi_1,score_arc_agi_2,score_arc_agi_3,score_numeric,cost_per_task,cost_v3,score_label
26,GPT-5.4 Pro (xHigh),OpenAI,04.03.2026,CoT,94.5%,83.3%,,$16.41,,—,arc_agi_2,arc_agi_2:0026:gpt_5_4_pro_xhigh,GPT-5.4 Pro (xHigh),GPT-5.4 Pro (xHigh),2026-03-04,94.5,83.3,,83.3,16.41,,ARC-AGI-2
27,GLM-5,Z.ai,20.02.2026,CoT,44.7%,4.9%,,$0.270,,—,arc_agi_2,arc_agi_2:0027:glm_5,GLM-5,GLM-5,2026-02-20,44.7,4.9,,4.9,0.27,,ARC-AGI-2
28,Gemini 3.1 Pro (Preview),Google,19.02.2026,CoT,98.0%,77.1%,,$0.962,,📄,arc_agi_2,arc_agi_2:0028:gemini_3_1_pro_preview,Gemini 3.1 Pro (Preview),Gemini 3.1 Pro (Preview),2026-02-19,98.0,77.1,,77.1,0.962,,ARC-AGI-2
29,Claude Sonnet 4.6 (Max),Anthropic,17.02.2026,CoT,86.0%,58.3%,,$2.72,,—,arc_agi_2,arc_agi_2:0029:claude_sonnet_4_6_max,Claude Sonnet 4.6 (Max),Claude Sonnet 4.6 (Max),2026-02-17,86.0,58.3,,58.3,2.72,,ARC-AGI-2
30,Claude Sonnet 4.6 (High),Anthropic,17.02.2026,CoT,86.5%,60.4%,,$2.70,,—,arc_agi_2,arc_agi_2:0030:claude_sonnet_4_6_high,Claude Sonnet 4.6 (High),Claude Sonnet 4.6 (High),2026-02-17,86.5,60.4,,60.4,2.7,,ARC-AGI-2
31,Gemini 3 Deep Think (Preview) ²,Google,12.02.2026,CoT,87.5%,45.1%,,$77.16,,—,arc_agi_2,arc_agi_2:0031:gemini_3_deep_think_preview_2,Gemini 3 Deep Think (Preview) ²,Gemini 3 Deep Think (Preview) ²,2026-02-12,87.5,45.1,,45.1,77.16,,ARC-AGI-2
32,Gemini 3 Deep Think (2/26),Google,12.02.2026,CoT,96.0%,84.6%,,$13.62,,—,arc_agi_2,arc_agi_2:0032:gemini_3_deep_think_2_26,Gemini 3 Deep Think (2/26),Gemini 3 Deep Think (2/26),2026-02-12,96.0,84.6,,84.6,13.62,,ARC-AGI-2
33,Minimax M2.5,Minimax,12.02.2026,CoT,63.7%,4.9%,,$0.170,,—,arc_agi_2,arc_agi_2:0033:minimax_m2_5,Minimax M2.5,Minimax M2.5,2026-02-12,63.7,4.9,,4.9,0.17,,ARC-AGI-2
34,Claude Opus 4.6 (120K - Low),Anthropic,05.02.2026,CoT,86.0%,64.6%,,$2.25,,—,arc_agi_2,arc_agi_2:0034:claude_opus_4_6_120k_low,Claude Opus 4.6 (120K - Low),Claude Opus 4.6 (120K - Low),2026-02-05,86.0,64.6,,64.6,2.25,,ARC-AGI-2
35,Claude Opus 4.6 (120K - Medium),Anthropic,05.02.2026,CoT,92.0%,66.3%,,$2.72,,—,arc_agi_2,arc_agi_2:0035:claude_opus_4_6_120k_medium,Claude Opus 4.6 (120K - Medium),Claude Opus 4.6 (120K - Medium),2026-02-05,92.0,66.3,,66.3,2.72,,ARC-AGI-2
36,Claude Opus 4.6 (120K - High),Anthropic,05.02.2026,CoT,94.0%,69.2%,,$3.47,,—,arc_agi_2,arc_agi_2:0036:claude_opus_4_6_120k_high,Claude Opus 4.6 (120K - High),Claude Opus 4.6 (120K - High),2026-02-05,94.0,69.2,,69.2,3.47,,ARC-AGI-2
37,Claude Opus 4.6 (120K - Max),Anthropic,05.02.2026,CoT,93.0%,68.8%,,$3.64,,—,arc_agi_2,arc_agi_2:0037:claude_opus_4_6_120k_max,Claude Opus 4.6 (120K - Max),Claude Opus 4.6 (120K - Max),2026-02-05,93.0,68.8,,68.8,3.64,,ARC-AGI-2
38,GPT-5.2 (Refine.),Johan Land,03.02.2026,Refinement,94.5%,72.9%,,$38.99,,💻,arc_agi_2,arc_agi_2:0038:gpt_5_2_refine,GPT-5.2 (Refine.),GPT-5.2 (Refine.),2026-02-03,94.5,72.9,,72.9,38.99,,ARC-AGI-2
39,Kimi K2.5,Moonshot AI,27.01.2026,CoT,65.3%,11.8%,,$0.280,,—,arc_agi_2,arc_agi_2:0039:kimi_k2_5,Kimi K2.5,Kimi K2.5,2026-01-27,65.3,11.8,,11.8,0.28,,ARC-AGI-2
40,Gemini 3 Flash Preview (Minimal),Google,17.12.2025,CoT,21.5%,3.3%,,$0.021,,—,arc_agi_2,arc_agi_2:0040:gemini_3_flash_preview_minimal,Gemini 3 Flash Preview (Minimal),Gemini 3 Flash Preview (Minimal),2025-12-17,21.5,3.3,,3.3,0.021,,ARC-AGI-2
41,Gemini 3 Flash Preview (Low),Google,17.12.2025,CoT,29.0%,1.3%,,$0.025,,—,arc_agi_2,arc_agi_2:0041:gemini_3_flash_preview_low,Gemini 3 Flash Preview (Low),Gemini 3 Flash Preview (Low),2025-12-17,29.0,1.3,,1.3,0.025,,ARC-AGI-2
42,Gemini 3 Flash Preview (Medium),Google,17.12.2025,CoT,57.7%,12.8%,,$0.082,,—,arc_agi_2,arc_agi_2:0042:gemini_3_flash_preview_medium,Gemini 3 Flash Preview (Medium),Gemini 3 Flash Preview (Medium),2025-12-17,57.7,12.8,,12.8,0.082,,ARC-AGI-2
43,Gemini 3 Flash Preview (High),Google,17.12.2025,CoT,84.7%,33.6%,,$0.231,,—,arc_agi_2,arc_agi_2:0043:gemini_3_flash_preview_high,Gemini 3 Flash Preview (High),Gemini 3 Flash Preview (High),2025-12-17,84.7,33.6,,33.6,0.231,,ARC-AGI-2
44,Anthropic Opus 4.6 (Max),Anthropic,17.12.2025,CoT,,,0.5%,,$8.9K,—,arc_agi_2,arc_agi_2:0044:anthropic_opus_4_6_max,Anthropic Opus 4.6 (Max),Anthropic Opus 4.6 (Max),2025-12-17,,,0.5,,,,ARC-AGI-2
45,GPT-5.2,OpenAI,11.12.2025,Base LLM,12.3%,0.8%,,$0.082,,—,arc_agi_2,arc_agi_2:0045:gpt_5_2,GPT-5.2,GPT-5.2,2025-12-11,12.3,0.8,,0.8,0.082,,ARC-AGI-2
46,GPT-5.2 (Low),OpenAI,11.12.2025,CoT,55.7%,9.7%,,$0.264,,—,arc_agi_2,arc_agi_2:0046:gpt_5_2_low,GPT-5.2 (Low),GPT-5.2 (Low),2025-12-11,55.7,9.7,,9.7,0.264,,ARC-AGI-2
47,GPT-5.2 (Medium),OpenAI,11.12.2025,CoT,72.7%,26.7%,,$0.759,,—,arc_agi_2,arc_agi_2:0047:gpt_5_2_medium,GPT-5.2 (Medium),GPT-5.2 (Medium),2025-12-11,72.7,26.7,,26.7,0.759,,ARC-AGI-2
48,GPT-5.2 (High),OpenAI,11.12.2025,CoT,78.7%,43.3%,,$1.39,,—,arc_agi_2,arc_agi_2:0048:gpt_5_2_high,GPT-5.2 (High),GPT-5.2 (High),2025-12-11,78.7,43.3,,43.3,1.39,,ARC-AGI-2
49,GPT-5.2 (xHigh),OpenAI,11.12.2025,CoT,86.2%,52.9%,,$1.90,,—,arc_agi_2,arc_agi_2:0049:gpt_5_2_xhigh,GPT-5.2 (xHigh),GPT-5.2 (xHigh),2025-12-11,86.2,52.9,,52.9,1.9,,ARC-AGI-2
50,GPT-5.2 Pro (Medium),OpenAI,11.12.2025,CoT,81.2%,38.5%,,$8.99,,—,arc_agi_2,arc_agi_2:0050:gpt_5_2_pro_medium,GPT-5.2 Pro (Medium),GPT-5.2 Pro (Medium),2025-12-11,81.2,38.5,,38.5,8.99,,ARC-AGI-2
51,GPT-5.2 Pro (High),OpenAI,11.12.2025,CoT,85.7%,54.2%,,$15.72,,—,arc_agi_2,arc_agi_2:0051:gpt_5_2_pro_high,GPT-5.2 Pro (High),GPT-5.2 Pro (High),2025-12-11,85.7,54.2,,54.2,15.72,,ARC-AGI-2
52,GPT-5.2 Pro (xHigh),OpenAI,11.12.2025,CoT,90.5%,,,$11.65,,—,arc_agi_2,arc_agi_2:0052:gpt_5_2_pro_xhigh,GPT-5.2 Pro (xHigh),GPT-5.2 Pro (xHigh),2025-12-11,90.5,,,,11.65,,ARC-AGI-2
53,Gemini 3 Pro (Refine.),Poetiq,04.12.2025,Refinement,,54.0%,,$30.57,,—,arc_agi_2,arc_agi_2:0053:gemini_3_pro_refine,Gemini 3 Pro (Refine.),Gemini 3 Pro (Refine.),2025-12-04,,54.0,,54.0,30.57,,ARC-AGI-2
54,Deepseek V3.2,Deepseek,01.12.2025,Base LLM,57.0%,4.0%,,$0.120,,—,arc_agi_2,arc_agi_2:0054:deepseek_v3_2,Deepseek V3.2,Deepseek V3.2,2025-12-01,57.0,4.0,,4.0,0.12,,ARC-AGI-2
55,Opus 4.5 (Thinking - None),Anthropic,24.11.2025,CoT,40.0%,7.8%,,$0.220,,—,arc_agi_2,arc_agi_2:0055:opus_4_5_thinking_none,Opus 4.5 (Thinking - None),Opus 4.5 (Thinking - None),2025-11-24,40.0,7.8,,7.8,0.22,,ARC-AGI-2
56,Opus 4.5 (Thinking - 1K),Anthropic,24.11.2025,CoT,35.2%,9.4%,,$0.230,,—,arc_agi_2,arc_agi_2:0056:opus_4_5_thinking_1k,Opus 4.5 (Thinking - 1K),Opus 4.5 (Thinking - 1K),2025-11-24,35.2,9.4,,9.4,0.23,,ARC-AGI-2
57,Opus 4.5 (Thinking - 8K),Anthropic,24.11.2025,CoT,58.7%,13.9%,,$0.480,,—,arc_agi_2,arc_agi_2:0057:opus_4_5_thinking_8k,Opus 4.5 (Thinking - 8K),Opus 4.5 (Thinking - 8K),2025-11-24,58.7,13.9,,13.9,0.48,,ARC-AGI-2
58,Opus 4.5 (Thinking - 16K),Anthropic,24.11.2025,CoT,72.0%,22.8%,,$0.790,,—,arc_agi_2,arc_agi_2:0058:opus_4_5_thinking_16k,Opus 4.5 (Thinking - 16K),Opus 4.5 (Thinking - 16K),2025-11-24,72.0,22.8,,22.8,0.79,,ARC-AGI-2
59,Opus 4.5 (Thinking - 32K),Anthropic,24.11.2025,CoT,75.8%,30.6%,,$1.29,,—,arc_agi_2,arc_agi_2:0059:opus_4_5_thinking_32k,Opus 4.5 (Thinking - 32K),Opus 4.5 (Thinking - 32K),2025-11-24,75.8,30.6,,30.6,1.29,,ARC-AGI-2
60,Opus 4.5 (Thinking - 64K),Anthropic,24.11.2025,CoT,80.0%,37.6%,,$2.40,,—,arc_agi_2,arc_agi_2:0060:opus_4_5_thinking_64k,Opus 4.5 (Thinking - 64K),Opus 4.5 (Thinking - 64K),2025-11-24,80.0,37.6,,37.6,2.4,,ARC-AGI-2
61,Gemini 3 Pro,Google,18.11.2025,CoT,75.0%,31.1%,,$0.811,,—,arc_agi_2,arc_agi_2:0061:gemini_3_pro,Gemini 3 Pro,Gemini 3 Pro,2025-11-18,75.0,31.1,,31.1,0.811,,ARC-AGI-2
62,GPT-5.1 (Thinking - None),OpenAI,13.11.2025,CoT,5.8%,0.4%,,$0.058,,—,arc_agi_2,arc_agi_2:0062:gpt_5_1_thinking_none,GPT-5.1 (Thinking - None),GPT-5.1 (Thinking - None),2025-11-13,5.8,0.4,,0.4,0.058,,ARC-AGI-2
63,GPT-5.1 (Thinking - Low),OpenAI,13.11.2025,CoT,33.2%,1.9%,,$0.129,,—,arc_agi_2,arc_agi_2:0063:gpt_5_1_thinking_low,GPT-5.1 (Thinking - Low),GPT-5.1 (Thinking - Low),2025-11-13,33.2,1.9,,1.9,0.129,,ARC-AGI-2
64,GPT-5.1 (Thinking - Medium),OpenAI,13.11.2025,CoT,57.7%,6.5%,,$0.421,,—,arc_agi_2,arc_agi_2:0064:gpt_5_1_thinking_medium,GPT-5.1 (Thinking - Medium),GPT-5.1 (Thinking - Medium),2025-11-13,57.7,6.5,,6.5,0.421,,ARC-AGI-2
65,GPT-5.1 (Thinking - High),OpenAI,13.11.2025,CoT,72.8%,17.6%,,$1.17,,—,arc_agi_2,arc_agi_2:0065:gpt_5_1_thinking_high,GPT-5.1 (Thinking - High),GPT-5.1 (Thinking - High),2025-11-13,72.8,17.6,,17.6,1.17,,ARC-AGI-2
66,Grok 4 (Fast Reasoning),xAI,21.10.2025,CoT,48.5%,5.3%,,$0.061,,📄,arc_agi_2,arc_agi_2:0066:grok_4_fast_reasoning,Grok 4 (Fast Reasoning),Grok 4 (Fast Reasoning),2025-10-21,48.5,5.3,,5.3,0.061,,ARC-AGI-2
67,Tiny Recursion Model (TRM),Bespoke,07.10.2025,,40.0%,6.3%,,$2.10,,📄💻,arc_agi_2,arc_agi_2:0067:tiny_recursion_model_trm,Tiny Recursion Model (TRM),Tiny Recursion Model (TRM),2025-10-07,40.0,6.3,,6.3,2.1,,ARC-AGI-2
68,GPT-5 Pro,OpenAI,06.10.2025,CoT,70.2%,18.3%,,$7.14,,📄,arc_agi_2,arc_agi_2:0068:gpt_5_pro,GPT-5 Pro,GPT-5 Pro,2025-10-06,70.2,18.3,,18.3,7.14,,ARC-AGI-2
69,Claude Haiku 4.5,Anthropic,01.10.2025,Base LLM,14.3%,1.3%,,$0.043,,📄,arc_agi_2,arc_agi_2:0069:claude_haiku_4_5,Claude Haiku 4.5,Claude Haiku 4.5,2025-10-01,14.3,1.3,,1.3,0.043,,ARC-AGI-2
70,Claude Haiku 4.5 (Thinking 1K),Anthropic,01.10.2025,CoT,16.8%,1.3%,,$0.047,,📄,arc_agi_2,arc_agi_2:0070:claude_haiku_4_5_thinking_1k,Claude Haiku 4.5 (Thinking 1K),Claude Haiku 4.5 (Thinking 1K),2025-10-01,16.8,1.3,,1.3,0.047,,ARC-AGI-2
71,Claude Haiku 4.5 (Thinking 8K),Anthropic,01.10.2025,CoT,25.5%,1.7%,,$0.091,,📄,arc_agi_2,arc_agi_2:0071:claude_haiku_4_5_thinking_8k,Claude Haiku 4.5 (Thinking 8K),Claude Haiku 4.5 (Thinking 8K),2025-10-01,25.5,1.7,,1.7,0.091,,ARC-AGI-2
72,Claude Haiku 4.5 (Thinking 16K),Anthropic,01.10.2025,CoT,37.3%,2.8%,,$0.139,,📄,arc_agi_2,arc_agi_2:0072:claude_haiku_4_5_thinking_16k,Claude Haiku 4.5 (Thinking 16K),Claude Haiku 4.5 (Thinking 16K),2025-10-01,37.3,2.8,,2.8,0.139,,ARC-AGI-2
73,Claude Haiku 4.5 (Thinking 32K),Anthropic,01.10.2025,CoT,47.7%,4.0%,,$0.377,,📄,arc_agi_2,arc_agi_2:0073:claude_haiku_4_5_thinking_32k,Claude Haiku 4.5 (Thinking 32K),Claude Haiku 4.5 (Thinking 32K),2025-10-01,47.7,4.0,,4.0,0.377,,ARC-AGI-2
74,Claude Sonnet 4.5,Anthropic,29.09.2025,Base LLM,25.5%,3.8%,,$0.130,,📄,arc_agi_2,arc_agi_2:0074:claude_sonnet_4_5,Claude Sonnet 4.5,Claude Sonnet 4.5,2025-09-29,25.5,3.8,,3.8,0.13,,ARC-AGI-2
75,Claude Sonnet 4.5 (Thinking 1K),Anthropic,29.09.2025,CoT,31.0%,5.8%,,$0.142,,📄,arc_agi_2,arc_agi_2:0075:claude_sonnet_4_5_thinking_1k,Claude Sonnet 4.5 (Thinking 1K),Claude Sonnet 4.5 (Thinking 1K),2025-09-29,31.0,5.8,,5.8,0.142,,ARC-AGI-2
76,Claude Sonnet 4.5 (Thinking 8K),Anthropic,29.09.2025,CoT,46.5%,6.9%,,$0.235,,📄,arc_agi_2,arc_agi_2:0076:claude_sonnet_4_5_thinking_8k,Claude Sonnet 4.5 (Thinking 8K),Claude Sonnet 4.5 (Thinking 8K),2025-09-29,46.5,6.9,,6.9,0.235,,ARC-AGI-2
77,Claude Sonnet 4.5 (Thinking 16K),Anthropic,29.09.2025,CoT,48.3%,6.9%,,$0.350,,📄,arc_agi_2,arc_agi_2:0077:claude_sonnet_4_5_thinking_16k,Claude Sonnet 4.5 (Thinking 16K),Claude Sonnet 4.5 (Thinking 16K),2025-09-29,48.3,6.9,,6.9,0.35,,ARC-AGI-2
78,Claude Sonnet 4.5 (Thinking 32K),Anthropic,29.09.2025,CoT,63.7%,13.6%,,$0.759,,📄,arc_agi_2,arc_agi_2:0078:claude_sonnet_4_5_thinking_32k,Claude Sonnet 4.5 (Thinking 32K),Claude Sonnet 4.5 (Thinking 32K),2025-09-29,63.7,13.6,,13.6,0.759,,ARC-AGI-2
79,GPT-5 (High),OpenAI,07.08.2025,CoT,65.7%,9.9%,,$0.730,,—,arc_agi_2,arc_agi_2:0079:gpt_5_high,GPT-5 (High),GPT-5 (High),2025-08-07,65.7,9.9,,9.9,0.73,,ARC-AGI-2
80,GPT-5 (Medium),OpenAI,07.08.2025,CoT,56.2%,7.5%,,$0.449,,—,arc_agi_2,arc_agi_2:0080:gpt_5_medium,GPT-5 (Medium),GPT-5 (Medium),2025-08-07,56.2,7.5,,7.5,0.449,,ARC-AGI-2
81,GPT-5 (Low),OpenAI,07.08.2025,CoT,44.0%,1.9%,,$0.190,,—,arc_agi_2,arc_agi_2:0081:gpt_5_low,GPT-5 (Low),GPT-5 (Low),2025-08-07,44.0,1.9,,1.9,0.19,,ARC-AGI-2
82,GPT-5 (Minimal),OpenAI,07.08.2025,Base LLM,6.0%,0.0%,,$0.056,,—,arc_agi_2,arc_agi_2:0082:gpt_5_minimal,GPT-5 (Minimal),GPT-5 (Minimal),2025-08-07,6.0,0.0,,0.0,0.056,,ARC-AGI-2
83,GPT-5 Mini (High),OpenAI,07.08.2025,CoT,54.3%,4.4%,,$0.198,,—,arc_agi_2,arc_agi_2:0083:gpt_5_mini_high,GPT-5 Mini (High),GPT-5 Mini (High),2025-08-07,54.3,4.4,,4.4,0.198,,ARC-AGI-2
84,GPT-5 Mini (Medium),OpenAI,07.08.2025,CoT,37.3%,4.0%,,$0.063,,—,arc_agi_2,arc_agi_2:0084:gpt_5_mini_medium,GPT-5 Mini (Medium),GPT-5 Mini (Medium),2025-08-07,37.3,4.0,,4.0,0.063,,ARC-AGI-2
85,GPT-5 Mini (Low),OpenAI,07.08.2025,CoT,26.3%,0.8%,,$0.019,,—,arc_agi_2,arc_agi_2:0085:gpt_5_mini_low,GPT-5 Mini (Low),GPT-5 Mini (Low),2025-08-07,26.3,0.8,,0.8,0.019,,ARC-AGI-2
86,GPT-5 Mini (Minimal),OpenAI,07.08.2025,CoT,5.3%,1.7%,,$0.009,,—,arc_agi_2,arc_agi_2:0086:gpt_5_mini_minimal,GPT-5 Mini (Minimal),GPT-5 Mini (Minimal),2025-08-07,5.3,1.7,,1.7,0.009,,ARC-AGI-2
87,GPT-5 Nano (High),OpenAI,07.08.2025,CoT,16.7%,2.6%,,$0.029,,—,arc_agi_2,arc_agi_2:0087:gpt_5_nano_high,GPT-5 Nano (High),GPT-5 Nano (High),2025-08-07,16.7,2.6,,2.6,0.029,,ARC-AGI-2
88,GPT-5 Nano (Medium),OpenAI,07.08.2025,CoT,20.7%,0.9%,,$0.014,,—,arc_agi_2,arc_agi_2:0088:gpt_5_nano_medium,GPT-5 Nano (Medium),GPT-5 Nano (Medium),2025-08-07,20.7,0.9,,0.9,0.014,,ARC-AGI-2
89,GPT-5 Nano (Low),OpenAI,07.08.2025,CoT,4.0%,0.0%,,$0.003,,—,arc_agi_2,arc_agi_2:0089:gpt_5_nano_low,GPT-5 Nano (Low),GPT-5 Nano (Low),2025-08-07,4.0,0.0,,0.0,0.003,,ARC-AGI-2
90,GPT-5 Nano (Minimal),OpenAI,07.08.2025,CoT,1.5%,0.0%,,$0.003,,—,arc_agi_2,arc_agi_2:0090:gpt_5_nano_minimal,GPT-5 Nano (Minimal),GPT-5 Nano (Minimal),2025-08-07,1.5,0.0,,0.0,0.003,,ARC-AGI-2
